Age	AnnualSalary
24	55000
42	124500
46	32000
41	52500
60	62500
40	59500
22	17500
40	95500
40	55500
55	116500
28	18500
27	119500
43	65500
41	76500
37	64500
39	134000
48	141000
37	119500
60	76500
37	53500
38	79500
30	15000
53	22500
58	27500
43	144500
40	80500
37	93000
30	80000
45	72500
45	22000
23	48000
38	50000
26	23500
33	87500
27	54000
43	67500
59	130000
42	53500
31	118000
39	72500
31	66000
35	38000
60	84500
38	56500
61	146500
26	34500
39	127500
36	28500
45	67500
48	35000
41	63500
21	87500
42	90000
25	20500
26	86000
37	72000
40	72500
60	108000
19	53500
54	83500
36	60500
41	67500
37	33000
54	73500
41	53500
56	60000
43	150500
49	119500
39	61000
23	82000
31	63500
35	75000
48	145500
39	77000
42	73500
33	118500
47	49000
40	71000
23	28500
41	58500
35	47000
40	148500
36	76500
46	23500
31	108500
55	140500
52	41500
40	47000
45	106500
36	60000
42	73500
52	91500
36	118000
47	30000
43	66500
58	123500
57	122000
49	31500
49	75500
37	145500
42	64500
45	22000
47	60500
39	35500
35	26500
22	69500
37	34500
61	97500
33	60000
55	152500
36	54500
39	62500
48	35500
32	117000
33	19500
21	83500
39	72500
41	72000
24	27000
51	140500
38	71000
52	21000
34	43000
48	106500
29	28000
59	102500
29	47000
50	49500
38	75500
36	61500
28	59000
43	59500
57	74000
36	109500
49	139500
34	52500
47	141500
35	65000
50	107500
41	73500
50	90500
56	145500
35	57000
40	78000
49	34500
25	90000
36	33000
48	138000
42	54000
51	76500
49	65000
46	80500
27	20000
39	52500
35	97000
47	34000
52	38000
49	30500
36	26500
26	80500
38	34500
48	50500
32	100000
40	75000
42	81500
41	62500
24	83500
52	150000
48	133500
41	52000
19	83500
29	148000
58	101000
36	48500
63	85500
35	44000
22	81000
24	32000
39	71000
31	15000
60	77500
32	59500
46	23500
39	79000
39	60500
42	54000
28	87000
45	77500
48	33000
31	71000
33	121500
27	84000
25	56500
30	48500
24	67500
54	136500
53	104000
38	59000
47	23500
28	138500
48	134000
44	73500
